Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session
ANT,12,106.304,2.0,1.0,30.328,47.266,28.71,308.0,213.0,208.0,308.0,True,SOFT,2.0,True,Mercedes,0 days 00:20:06.202000,1,Q
ANT,12,106.617,5.0,2.0,30.407,47.562,28.648,306.0,214.0,214.0,307.0,False,SOFT,5.0,False,Mercedes,0 days 00:29:25.422000,1,Q
ANT,12,105.142,8.0,3.0,30.194,46.633,28.315,309.0,215.0,218.0,309.0,True,SOFT,2.0,True,Mercedes,0 days 00:43:07.400000,1,Q
ANT,12,104.84,11.0,4.0,30.206,46.534,28.1,309.0,218.0,216.0,310.0,True,SOFT,2.0,True,Mercedes,0 days 01:06:45.189000,1,Q
ANT,12,104.361,14.0,5.0,30.16,46.059,28.142,311.0,220.0,215.0,309.0,True,SOFT,2.0,True,Mercedes,0 days 01:22:22.355000,1,Q
VER,3,105.93,2.0,1.0,30.619,46.622,28.689,305.0,217.0,209.0,297.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:19:55.193000,1,Q
VER,3,105.589,5.0,2.0,30.651,46.291,28.647,303.0,220.0,207.0,296.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:43:47.396000,1,Q
VER,3,104.984,8.0,3.0,30.52,46.185,28.279,300.0,223.0,209.0,297.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:06:38.101000,1,Q
VER,3,104.678,11.0,4.0,30.443,46.05,28.185,303.0,222.0,210.0,297.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:22:16.351000,1,Q
NOR,1,105.865,2.0,1.0,30.655,46.547,28.663,302.0,215.0,221.0,307.0,True,SOFT,2.0,True,McLaren,0 days 00:21:50.626000,1,Q
NOR,1,105.454,5.0,2.0,30.401,46.35,28.703,301.0,217.0,222.0,308.0,True,SOFT,2.0,True,McLaren,0 days 00:44:23.509000,1,Q
