Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session
0 days 01:15:23.084000,VER,1,0 days 00:02:07.186000,18.0,6.0,,0 days 01:15:13.493000,0 days 00:00:38.894000,0 days 00:00:39.930000,0 days 00:00:48.362000,0 days 01:13:54.792000,0 days 01:14:34.722000,0 days 01:15:23.084000,185.0,168.0,,167.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:13:15.898000,2025-05-03 21:14:35.925,1,,,,False,False,Q
0 days 00:17:41.732000,NOR,4,,1.0,1.0,0 days 00:15:49.534000,,,0 days 00:00:39.519000,0 days 00:00:32.413000,,0 days 00:17:09.467000,0 days 00:17:41.816000,183.0,134.0,286.0,113.0,False,SOFT,4.0,False,McLaren,0 days 00:15:49.534000,2025-05-03 20:17:09.561,1,,,,False,False,Q
0 days 00:19:09.404000,NOR,4,0 days 00:01:27.672000,2.0,1.0,,,0 days 00:00:29.140000,0 days 00:00:33.460000,0 days 00:00:25.072000,0 days 00:18:10.872000,0 days 00:18:44.332000,0 days 00:19:09.404000,217.0,190.0,285.0,335.0,True,SOFT,5.0,False,McLaren,0 days 00:17:41.732000,2025-05-03 20:19:01.759,1,,,,False,True,Q
0 days 00:20:57.089000,NOR,4,0 days 00:01:47.685000,3.0,1.0,,0 days 00:20:51.554000,0 days 00:00:35.366000,0 days 00:00:36.829000,0 days 00:00:35.490000,0 days 00:19:44.770000,0 days 00:20:21.599000,0 days 00:20:57.089000,202.0,168.0,,186.0,False,SOFT,6.0,False,McLaren,0 days 00:19:09.404000,2025-05-03 20:20:29.431,1,,,,False,False,Q
0 days 00:25:14.570000,NOR,4,,4.0,2.0,0 days 00:23:04.263000,,,0 days 00:00:42.496000,0 days 00:00:37.833000,,0 days 00:24:36.897000,0 days 00:25:14.794000,157.0,110.0,288.0,129.0,False,SOFT,1.0,True,McLaren,0 days 00:20:57.089000,2025-05-03 20:22:17.116,1,,,,False,False,Q
0 days 00:26:41.889000,NOR,4,0 days 00:01:27.319000,5.0,2.0,,,0 days 00:00:28.855000,0 days 00:00:33.619000,0 days 00:00:24.845000,0 days 00:25:43.425000,0 days 00:26:17.044000,0 days 00:26:41.889000,224.0,191.0,286.0,338.0,True,SOFT,2.0,True,McLaren,0 days 00:25:14.570000,2025-05-03 20:26:34.597,1,,,,False,True,Q
0 days 00:28:44.565000,NOR,4,0 days 00:02:02.676000,6.0,2.0,,,0 days 00:00:47.454000,0 days 00:00:42.929000,0 days 00:00:32.293000,0 days 00:27:29.343000,0 days 00:28:12.272000,0 days 00:28:44.565000,140.0,162.0,115.0,219.0,False,SOFT,3.0,True,McLaren,0 days 00:26:41.889000,2025-05-03 20:28:01.916,1,,,,False,True,Q
0 days 00:30:53.834000,NOR,4,0 days 00:02:09.269000,7.0,2.0,,,0 days 00:00:47.398000,0 days 00:00:44.335000,0 days 00:00:37.536000,0 days 00:29:31.963000,0 days 00:30:16.298000,0 days 00:30:53.834000,150.0,164.0,287.0,72.0,False,SOFT,4.0,True,McLaren,0 days 00:28:44.565000,2025-05-03 20:30:04.592,1,,,,False,True,Q
0 days 00:32:20.789000,NOR,4,0 days 00:01:26.955000,8.0,2.0,,,0 days 00:00:28.800000,0 days 00:00:33.377000,0 days 00:00:24.778000,0 days 00:31:22.634000,0 days 00:31:56.011000,0 days 00:32:20.789000,221.0,192.0,287.0,336.0,True,SOFT,5.0,True,McLaren,0 days 00:30:53.834000,2025-05-03 20:32:13.861,1,,,,False,True,Q
0 days 00:34:07.904000,NOR,4,0 days 00:01:47.115000,9.0,2.0,,0 days 00:34:02.442000,0 days 00:00:34.412000,0 days 00:00:38.106000,0 days 00:00:34.597000,0 days 00:32:55.201000,0 days 00:33:33.307000,0 days 00:34:07.904000,193.0,173.0,,220.0,False,SOFT,6.0,True,McLaren,0 days 00:32:20.789000,2025-05-03 20:33:40.816,1,,,,False,False,Q
