Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session
0 days 01:33:36.251000,BOR,5,0 days 00:02:23.111000,26.0,4.0,,,0 days 00:00:46.484000,0 days 00:00:42.126000,0 days 00:00:54.501000,0 days 01:31:59.624000,0 days 01:32:41.750000,0 days 01:33:36.251000,183.0,126.0,75.0,128.0,False,SOFT,8.0,False,Audi,0 days 01:31:13.140000,2026-05-01 17:31:13.230,12,,,,False,True,FP1
0 days 01:36:21.109000,BOR,5,,27.0,4.0,,,0 days 00:01:16.941000,0 days 00:00:47.260000,0 days 00:00:40.610000,0 days 01:34:53.470000,0 days 01:35:42.289000,0 days 01:36:21.198000,195.0,172.0,48.0,218.0,False,SOFT,9.0,False,Audi,0 days 01:33:36.251000,2026-05-01 17:33:36.341,1,,,,False,False,FP1
0 days 01:38:43.750000,BOR,5,0 days 00:02:22.641000,28.0,4.0,,0 days 01:38:37.992000,0 days 00:01:09.081000,0 days 00:00:40.054000,0 days 00:00:33.506000,0 days 01:37:30.190000,0 days 01:38:10.244000,0 days 01:38:43.750000,216.0,170.0,,235.0,False,SOFT,10.0,False,Audi,0 days 01:36:21.109000,2026-05-01 17:36:21.199,1,,,,False,False,FP1
0 days 00:03:36.668000,HAD,6,,1.0,1.0,0 days 00:01:39.287000,,,0 days 00:00:43.581000,0 days 00:00:37.812000,,0 days 00:02:59.017000,0 days 00:03:36.678000,193.0,100.0,252.0,91.0,False,HARD,1.0,True,Red Bull Racing,0 days 00:01:39.287000,2026-05-01 16:01:39.377,1,,,,False,False,FP1
0 days 00:05:09.396000,HAD,6,0 days 00:01:32.728000,2.0,1.0,,,0 days 00:00:32.163000,0 days 00:00:34.958000,0 days 00:00:25.607000,0 days 00:04:08.831000,0 days 00:04:43.789000,0 days 00:05:09.396000,220.0,183.0,266.0,319.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:03:36.668000,2026-05-01 16:03:36.758,1,,,,False,True,FP1
0 days 00:07:47.733000,HAD,6,,3.0,1.0,,,0 days 00:00:53.500000,0 days 00:01:00.454000,0 days 00:00:44.492000,0 days 00:06:03.144000,0 days 00:07:03.602000,0 days 00:07:47.853000,128.0,112.0,249.0,50.0,False,HARD,3.0,True,Red Bull Racing,0 days 00:05:09.396000,2026-05-01 16:05:09.486,1,,,,False,False,FP1
0 days 00:09:20.034000,HAD,6,0 days 00:01:32.301000,4.0,1.0,,,0 days 00:00:31.686000,0 days 00:00:34.918000,0 days 00:00:25.697000,0 days 00:08:19.419000,0 days 00:08:54.337000,0 days 00:09:20.034000,216.0,184.0,262.0,314.0,True,HARD,4.0,True,Red Bull Racing,0 days 00:07:47.733000,2026-05-01 16:07:47.823,1,,,,False,True,FP1
0 days 00:11:46.716000,HAD,6,0 days 00:02:26.682000,5.0,1.0,,0 days 00:11:41.869000,0 days 00:00:57.906000,0 days 00:00:52.298000,0 days 00:00:36.478000,0 days 00:10:17.940000,0 days 00:11:10.238000,0 days 00:11:46.716000,135.0,131.0,,258.0,False,HARD,5.0,True,Red Bull Racing,0 days 00:09:20.034000,2026-05-01 16:09:20.124,1,,,,False,False,FP1
0 days 00:14:20.396000,HAD,6,,6.0,2.0,0 days 00:12:24.652000,,0 days 00:01:17.109000,0 days 00:00:42.428000,0 days 00:00:34.034000,0 days 00:13:04.146000,0 days 00:13:46.538000,0 days 00:14:20.521000,181.0,139.0,256.0,235.0,False,HARD,6.0,False,Red Bull Racing,0 days 00:11:46.716000,2026-05-01 16:11:46.806,12,,,,False,False,FP1
0 days 00:15:52.234000,HAD,6,0 days 00:01:31.838000,7.0,2.0,,,0 days 00:00:31.572000,0 days 00:00:34.574000,0 days 00:00:25.692000,0 days 00:14:51.968000,0 days 00:15:26.542000,0 days 00:15:52.234000,217.0,186.0,264.0,309.0,True,HARD,7.0,False,Red Bull Racing,0 days 00:14:20.396000,2026-05-01 16:14:20.486,1,,,,False,True,FP1
