Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session
0 days 01:01:31.120000,ALB,23,,29.0,2.0,,0 days 00:56:12.431000,0 days 00:00:19.555000,0 days 00:00:35.653000,,0 days 00:55:22.484000,0 days 00:55:58.211000,,215.0,169.0,,281.0,False,SOFT,12.0,True,Williams,0 days 00:55:02.738000,2026-06-05 15:42:14.745,1,,,,False,False,FP2
0 days 01:03:05.135000,ALB,23,0 days 00:01:34.015000,30.0,3.0,0 days 01:01:31.711000,,0 days 00:00:27.553000,0 days 00:00:41.549000,0 days 00:00:24.913000,0 days 01:01:58.673000,0 days 01:02:40.222000,0 days 01:03:05.135000,164.0,168.0,240.0,219.0,False,MEDIUM,18.0,False,Williams,0 days 01:01:31.120000,2026-06-05 15:48:43.127,1,,,,False,False,FP2
0 days 01:04:25.036000,ALB,23,0 days 00:01:19.901000,31.0,3.0,,,0 days 00:00:21.061000,0 days 00:00:37.676000,0 days 00:00:21.164000,0 days 01:03:26.196000,0 days 01:04:03.872000,0 days 01:04:25.036000,193.0,181.0,254.0,261.0,False,MEDIUM,19.0,False,Williams,0 days 01:03:05.135000,2026-06-05 15:50:17.142,1,,,,False,True,FP2
0 days 01:05:43.223000,ALB,23,0 days 00:01:18.187000,32.0,3.0,,,0 days 00:00:20.479000,0 days 00:00:36.986000,0 days 00:00:20.722000,0 days 01:04:45.515000,0 days 01:05:22.501000,0 days 01:05:43.223000,194.0,183.0,260.0,260.0,False,MEDIUM,20.0,False,Williams,0 days 01:04:25.036000,2026-06-05 15:51:37.043,1,,,,False,True,FP2
0 days 01:07:01.478000,ALB,23,0 days 00:01:18.255000,33.0,3.0,,,0 days 00:00:20.519000,0 days 00:00:37.106000,0 days 00:00:20.630000,0 days 01:06:03.742000,0 days 01:06:40.848000,0 days 01:07:01.478000,201.0,187.0,260.0,258.0,False,MEDIUM,21.0,False,Williams,0 days 01:05:43.223000,2026-06-05 15:52:55.230,1,,,,False,True,FP2
0 days 01:11:03.208000,ALB,23,,34.0,3.0,,0 days 01:08:29.763000,0 days 00:00:20.505000,,,0 days 01:07:22.169000,,,204.0,,,260.0,False,MEDIUM,22.0,False,Williams,0 days 01:07:01.478000,2026-06-05 15:54:13.485,125,,,,False,False,FP2
0 days 01:12:33.791000,ALB,23,0 days 00:01:30.583000,35.0,4.0,0 days 01:11:03.903000,,0 days 00:00:25.623000,0 days 00:00:38.160000,0 days 00:00:26.800000,0 days 01:11:28.831000,0 days 01:12:06.991000,0 days 01:12:33.791000,176.0,179.0,244.0,264.0,False,SOFT,13.0,False,Williams,0 days 01:11:03.903000,2026-06-05 15:58:15.910,1,,,,False,False,FP2
0 days 01:13:51.680000,ALB,23,0 days 00:01:17.889000,36.0,4.0,,,0 days 00:00:20.752000,0 days 00:00:36.676000,0 days 00:00:20.461000,0 days 01:12:54.543000,0 days 01:13:31.219000,0 days 01:13:51.680000,192.0,181.0,262.0,279.0,False,SOFT,14.0,False,Williams,0 days 01:12:33.791000,2026-06-05 15:59:45.798,1,,,,False,True,FP2
0 days 01:16:07.394000,ALB,23,0 days 00:02:15.714000,37.0,4.0,,,0 days 00:00:25.301000,0 days 00:00:47.367000,0 days 00:01:03.046000,0 days 01:14:16.981000,0 days 01:15:04.348000,0 days 01:16:07.394000,135.0,110.0,81.0,246.0,False,SOFT,15.0,False,Williams,0 days 01:13:51.680000,2026-06-05 16:01:03.687,1,,,,False,True,FP2
0 days 01:18:08.604000,ALB,23,0 days 00:02:01.210000,38.0,4.0,,,0 days 00:00:23.118000,0 days 00:00:39.462000,0 days 00:00:58.630000,0 days 01:16:30.512000,0 days 01:17:09.974000,0 days 01:18:08.604000,181.0,154.0,82.0,261.0,False,SOFT,16.0,False,Williams,0 days 01:16:07.394000,2026-06-05 16:03:19.401,1,,,,False,True,FP2
0 days 01:19:25.735000,ALB,23,,39.0,4.0,,0 days 01:19:25.735000,0 days 00:00:22.852000,0 days 00:00:38.196000,,0 days 01:18:31.650000,0 days 01:19:09.788000,,185.0,168.0,,265.0,False,SOFT,17.0,False,Williams,0 days 01:18:08.604000,2026-06-05 16:05:20.611,1,,,,False,False,FP2
0 days 00:14:42.422000,HUL,27,0 days 00:01:35.270000,1.0,1.0,0 days 00:13:07.915000,,0 days 00:00:29.969000,0 days 00:00:42.070000,0 days 00:00:23.231000,0 days 00:13:37.303000,0 days 00:14:19.438000,0 days 00:14:42.451000,136.0,163.0,242.0,260.0,False,MEDIUM,1.0,True,Audi,0 days 00:13:07.915000,2026-06-05 15:00:19.922,1,,,,False,False,FP2
0 days 00:16:04.075000,HUL,27,0 days 00:01:21.653000,2.0,1.0,,,0 days 00:00:21.992000,0 days 00:00:37.560000,0 days 00:00:22.101000,0 days 00:15:04.414000,0 days 00:15:41.974000,0 days 00:16:04.075000,169.0,184.0,264.0,282.0,True,MEDIUM,2.0,True,Audi,0 days 00:14:42.422000,2026-06-05 15:01:54.429,1,,,,False,True,FP2
0 days 00:17:30.741000,HUL,27,0 days 00:01:26.666000,3.0,1.0,,,0 days 00:00:21.854000,0 days 00:00:39.189000,0 days 00:00:25.623000,0 days 00:16:25.929000,0 days 00:17:05.118000,0 days 00:17:30.741000,180.0,128.0,263.0,278.0,False,MEDIUM,3.0,True,Audi,0 days 00:16:04.075000,2026-06-05 15:03:16.082,1,,,,False,True,FP2
0 days 00:18:47.116000,HUL,27,0 days 00:01:16.375000,4.0,1.0,,,0 days 00:00:20.412000,0 days 00:00:35.820000,0 days 00:00:20.143000,0 days 00:17:51.153000,0 days 00:18:26.973000,0 days 00:18:47.116000,201.0,194.0,265.0,282.0,True,MEDIUM,4.0,True,Audi,0 days 00:17:30.741000,2026-06-05 15:04:42.748,1,,,,False,True,FP2
0 days 00:20:14.985000,HUL,27,0 days 00:01:27.869000,5.0,1.0,,,0 days 00:00:25.934000,0 days 00:00:38.374000,0 days 00:00:23.561000,0 days 00:19:13.050000,0 days 00:19:51.424000,0 days 00:20:14.985000,170.0,176.0,227.0,265.0,False,MEDIUM,5.0,True,Audi,0 days 00:18:47.116000,2026-06-05 15:05:59.123,1,,,,False,True,FP2
0 days 00:21:35.152000,HUL,27,0 days 00:01:20.167000,6.0,1.0,,,0 days 00:00:20.435000,0 days 00:00:36.939000,0 days 00:00:22.793000,0 days 00:20:35.420000,0 days 00:21:12.359000,0 days 00:21:35.152000,205.0,163.0,263.0,273.0,False,MEDIUM,6.0,True,Audi,0 days 00:20:14.985000,2026-06-05 15:07:26.992,1,,,,False,True,FP2
0 days 00:22:54.836000,HUL,27,0 days 00:01:19.684000,7.0,1.0,,,0 days 00:00:19.816000,0 days 00:00:35.603000,0 days 00:00:24.265000,0 days 00:21:54.968000,0 days 00:22:30.571000,0 days 00:22:54.836000,211.0,188.0,204.0,281.0,False,MEDIUM,7.0,True,Audi,0 days 00:21:35.152000,2026-06-05 15:08:47.159,1,,,,False,True,FP2
