Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session
NOR,4,64.672,2.0,1.0,16.434,28.843,19.395,316.0,250.0,288.0,318.0,True,SOFT,2.0,True,McLaren,0 days 00:23:14.776000,1,Q
NOR,4,64.877,5.0,2.0,16.407,28.763,19.707,314.0,250.0,281.0,318.0,False,SOFT,5.0,False,McLaren,0 days 00:32:14.682000,1,Q
NOR,4,64.41,8.0,3.0,16.424,28.623,19.363,313.0,250.0,287.0,321.0,True,SOFT,2.0,True,McLaren,0 days 00:49:16.999000,1,Q
NOR,4,65.201,11.0,4.0,16.36,29.36,19.481,319.0,249.0,287.0,317.0,False,SOFT,5.0,False,McLaren,0 days 01:03:17.423000,1,Q
NOR,4,64.268,14.0,5.0,16.346,28.642,19.28,316.0,251.0,287.0,322.0,True,SOFT,2.0,True,McLaren,0 days 01:17:35.206000,1,Q
NOR,4,63.971,17.0,6.0,16.285,28.436,19.25,316.0,252.0,286.0,318.0,True,SOFT,2.0,True,McLaren,0 days 01:24:43.389000,12,Q
LEC,16,65.345,2.0,1.0,16.434,29.181,19.73,314.0,248.0,288.0,318.0,True,SOFT,2.0,False,Ferrari,0 days 00:23:31.884000,1,Q
LEC,16,65.197,5.0,2.0,16.531,29.011,19.655,315.0,247.0,284.0,320.0,True,,5.0,False,Ferrari,0 days 00:32:53.468000,1,Q
LEC,16,65.446,8.0,3.0,16.617,29.16,19.669,314.0,247.0,286.0,315.0,True,SOFT,8.0,False,Ferrari,0 days 00:43:48.852000,1,Q
LEC,16,64.878,11.0,4.0,16.434,28.907,19.537,312.0,251.0,286.0,320.0,True,SOFT,2.0,True,Ferrari,0 days 00:49:28.832000,1,Q
LEC,16,64.734,14.0,5.0,16.391,28.867,19.476,318.0,247.0,287.0,317.0,True,SOFT,5.0,False,Ferrari,0 days 01:04:24.265000,1,Q
LEC,16,64.492,17.0,6.0,16.371,28.763,19.358,315.0,249.0,285.0,321.0,True,SOFT,2.0,True,Ferrari,0 days 01:18:03.020000,1,Q
LEC,16,64.501,20.0,7.0,16.326,28.725,19.45,315.0,251.0,285.0,318.0,False,SOFT,2.0,True,Ferrari,0 days 01:24:31.875000,12,Q
PIA,81,86.202,2.0,1.0,16.423,41.649,28.13,314.0,190.0,150.0,318.0,True,SOFT,2.0,True,McLaren,0 days 00:23:23.341000,1,Q
PIA,81,97.75,3.0,1.0,32.375,39.319,26.056,193.0,174.0,285.0,233.0,False,SOFT,3.0,True,McLaren,0 days 00:24:49.543000,1,Q
PIA,81,65.004,4.0,1.0,16.454,28.979,19.571,315.0,248.0,286.0,318.0,True,SOFT,4.0,True,McLaren,0 days 00:26:27.293000,1,Q
PIA,81,64.966,7.0,2.0,16.454,28.889,19.623,314.0,251.0,284.0,320.0,True,SOFT,7.0,False,McLaren,0 days 00:32:44.658000,1,Q
PIA,81,64.556,10.0,3.0,16.354,28.694,19.508,314.0,251.0,286.0,322.0,True,SOFT,2.0,True,McLaren,0 days 00:49:00.057000,1,Q
PIA,81,64.736,13.0,4.0,16.309,28.926,19.501,320.0,251.0,286.0,318.0,False,SOFT,5.0,False,McLaren,0 days 01:03:28.445000,1,Q
PIA,81,64.554,16.0,5.0,16.469,28.792,19.293,315.0,255.0,286.0,321.0,True,SOFT,2.0,True,McLaren,0 days 01:17:24.938000,1,Q
HAM,44,65.115,2.0,1.0,16.546,28.892,19.677,314.0,246.0,285.0,319.0,True,SOFT,2.0,True,Ferrari,0 days 00:23:46.066000,1,Q
HAM,44,65.39,5.0,2.0,16.587,29.046,19.757,316.0,243.0,286.0,319.0,False,SOFT,5.0,False,Ferrari,0 days 00:33:04.705000,1,Q
HAM,44,65.651,8.0,3.0,16.458,29.4,19.793,316.0,242.0,284.0,317.0,True,SOFT,8.0,False,Ferrari,0 days 00:43:54.717000,1,Q
HAM,44,64.896,11.0,4.0,16.433,28.898,19.565,314.0,250.0,279.0,321.0,True,SOFT,2.0,True,Ferrari,0 days 00:49:33.213000,1,Q
HAM,44,64.953,14.0,5.0,16.387,28.94,19.626,319.0,246.0,284.0,319.0,False,SOFT,5.0,False,Ferrari,0 days 01:04:30.071000,1,Q
HAM,44,64.619,17.0,6.0,16.408,28.769,19.442,315.0,246.0,285.0,320.0,True,SOFT,2.0,True,Ferrari,0 days 01:18:21.529000,1,Q
HAM,44,64.582,20.0,7.0,16.366,28.703,19.513,316.0,247.0,285.0,319.0,True,SOFT,2.0,True,Ferrari,0 days 01:24:51.841000,12,Q
RUS,63,65.359,2.0,1.0,16.447,29.139,19.773,316.0,246.0,287.0,319.0,True,SOFT,2.0,True,Mercedes,0 days 00:24:34.837000,1,Q
RUS,63,65.189,5.0,2.0,16.369,29.315,19.505,317.0,248.0,287.0,318.0,True,SOFT,2.0,True,Mercedes,0 days 00:34:44.665000,1,Q
RUS,63,65.382,8.0,3.0,16.416,29.32,19.646,312.0,246.0,286.0,320.0,True,SOFT,5.0,False,Mercedes,0 days 00:48:48.206000,1,Q
RUS,63,64.86,11.0,4.0,16.31,29.006,19.544,320.0,247.0,287.0,320.0,True,SOFT,2.0,True,Mercedes,0 days 01:04:07.711000,1,Q
RUS,63,64.844,14.0,5.0,16.348,29.002,19.494,316.0,247.0,285.0,320.0,True,SOFT,5.0,False,Mercedes,0 days 01:18:31.042000,1,Q
RUS,63,64.763,17.0,6.0,16.34,28.979,19.444,317.0,250.0,287.0,319.0,True,SOFT,2.0,True,Mercedes,0 days 01:24:23.012000,12,Q
