Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session,TrackTemp,AirTemp,Humidity
GAS,10,72.54,22.0,5.0,17.441,32.508,22.591,308.0,207.0,283.0,304.0,False,HARD,17.0,False,Alpine,0 days 01:03:12.007000,1,FP1,48.7,30.5,28.4
GAS,10,72.639,23.0,5.0,17.386,32.515,22.738,315.0,204.0,282.0,315.0,False,HARD,18.0,False,Alpine,0 days 01:04:24.547000,1,FP1,50.4,30.4,29.0
GAS,10,74.219,24.0,5.0,17.768,33.66,22.791,301.0,205.0,281.0,299.0,False,HARD,19.0,False,Alpine,0 days 01:05:37.186000,1,FP1,50.4,30.4,29.0
GAS,10,73.285,25.0,5.0,17.807,32.927,22.551,305.0,204.0,283.0,305.0,False,HARD,20.0,False,Alpine,0 days 01:06:51.405000,1,FP1,50.4,30.4,29.0
GAS,10,73.638,26.0,5.0,17.975,32.86,22.803,290.0,206.0,284.0,307.0,False,HARD,21.0,False,Alpine,0 days 01:08:04.690000,1,FP1,50.4,30.4,29.0
GAS,10,106.277,27.0,5.0,26.016,50.272,29.989,161.0,138.0,282.0,190.0,False,HARD,22.0,False,Alpine,0 days 01:09:18.328000,1,FP1,50.4,30.4,29.0
PER,11,73.53,2.0,1.0,17.895,32.91,22.725,297.0,206.0,282.0,288.0,True,HARD,2.0,True,Cadillac,0 days 00:14:36.887000,1,FP1,50.4,30.4,29.0
PER,11,73.387,3.0,1.0,18.148,32.774,22.465,298.0,209.0,285.0,295.0,True,HARD,3.0,True,Cadillac,0 days 00:15:50.417000,1,FP1,50.4,30.4,29.0
PER,11,100.588,4.0,1.0,29.757,43.866,26.965,136.0,152.0,270.0,241.0,False,HARD,4.0,True,Cadillac,0 days 00:17:03.804000,1,FP1,50.4,30.4,29.0
PER,11,71.543,5.0,1.0,17.453,31.855,22.235,309.0,212.0,268.0,302.0,True,HARD,5.0,True,Cadillac,0 days 00:18:44.392000,1,FP1,50.4,30.4,29.0
PER,11,71.283,8.0,2.0,17.339,31.952,21.992,313.0,212.0,266.0,300.0,True,HARD,8.0,False,Cadillac,0 days 00:36:16.275000,1,FP1,50.4,30.3,29.0
PER,11,109.0,9.0,2.0,24.188,53.026,31.786,165.0,119.0,271.0,118.0,False,HARD,9.0,False,Cadillac,0 days 00:37:27.558000,1,FP1,50.4,30.3,29.0
ANT,12,71.029,2.0,1.0,18.046,31.286,21.697,313.0,219.0,266.0,317.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:15:45.792000,1,FP1,50.4,30.3,29.0
ANT,12,100.723,3.0,1.0,25.588,48.983,26.152,123.0,164.0,269.0,181.0,False,MEDIUM,3.0,True,Mercedes,0 days 00:16:56.821000,1,FP1,50.4,30.3,29.0
ANT,12,69.119,4.0,1.0,16.937,30.866,21.316,312.0,219.0,265.0,318.0,True,MEDIUM,4.0,True,Mercedes,0 days 00:18:37.544000,1,FP1,50.4,30.3,29.0
ANT,12,93.599,7.0,2.0,22.227,44.395,26.977,209.0,157.0,273.0,180.0,False,MEDIUM,7.0,False,Mercedes,0 days 00:24:28.382000,1,FP1,50.3,31.0,29.5
ANT,12,69.001,8.0,2.0,17.009,30.96,21.032,312.0,219.0,269.0,314.0,True,MEDIUM,8.0,False,Mercedes,0 days 00:26:01.981000,1,FP1,50.3,31.0,29.5
ANT,12,68.448,11.0,3.0,16.832,30.723,20.893,314.0,220.0,270.0,318.0,True,MEDIUM,11.0,False,Mercedes,0 days 00:32:00.092000,1,FP1,50.3,31.0,29.5
ANT,12,67.796,14.0,4.0,16.742,30.304,20.75,314.0,222.0,270.0,318.0,True,SOFT,2.0,True,Mercedes,0 days 00:42:07.966000,1,FP1,50.3,31.0,29.5
ANT,12,71.666,17.0,5.0,17.463,32.133,22.07,293.0,210.0,285.0,300.0,False,MEDIUM,14.0,False,Mercedes,0 days 00:52:20.862000,1,FP1,50.3,31.0,29.5
ANT,12,71.367,18.0,5.0,17.435,31.943,21.989,298.0,208.0,288.0,299.0,False,MEDIUM,15.0,False,Mercedes,0 days 00:53:32.528000,1,FP1,50.3,31.0,29.5
ANT,12,73.009,19.0,5.0,18.551,32.484,21.974,305.0,207.0,282.0,302.0,False,MEDIUM,16.0,False,Mercedes,0 days 00:54:43.895000,1,FP1,50.3,31.0,29.5
ANT,12,71.83,20.0,5.0,17.508,32.254,22.068,299.0,207.0,282.0,297.0,False,MEDIUM,17.0,False,Mercedes,0 days 00:55:56.904000,12,FP1,49.6,30.6,29.1
