Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session,TrackTemp,AirTemp,Humidity
0 days 00:56:14.557000,PER,11,0 days 00:01:54.702000,13.0,3.0,,,0 days 00:00:32.434000,0 days 00:00:51.708000,0 days 00:00:30.560000,0 days 00:54:52.289000,0 days 00:55:43.997000,0 days 00:56:14.557000,304.0,198.0,211.0,289.0,False,MEDIUM,9.0,False,Cadillac,0 days 00:54:19.855000,2026-07-17 15:41:00.171,1,,,,False,True,FP2,31.3,24.7,39.9
0 days 00:58:10.597000,PER,11,0 days 00:01:56.040000,14.0,3.0,,,0 days 00:00:32.519000,0 days 00:00:52.523000,0 days 00:00:30.998000,0 days 00:56:47.076000,0 days 00:57:39.599000,0 days 00:58:10.597000,303.0,192.0,210.0,289.0,False,MEDIUM,10.0,False,Cadillac,0 days 00:56:14.557000,2026-07-17 15:42:54.873,1,,,,False,True,FP2,31.5,24.5,40.3
0 days 01:11:24.213000,PER,11,,15.0,3.0,,0 days 01:00:59.453000,,,,,,,,,,288.0,False,MEDIUM,11.0,False,Cadillac,0 days 00:58:10.597000,2026-07-17 15:44:50.913,125,,,,False,False,FP2,31.7,24.6,39.6
0 days 01:13:17.625000,PER,11,,16.0,4.0,0 days 01:11:24.213000,,,0 days 00:00:51.458000,0 days 00:00:30.161000,,0 days 01:12:47.651000,0 days 01:13:17.625000,289.0,196.0,212.0,278.0,False,SOFT,5.0,False,Cadillac,0 days 01:11:24.213000,2026-07-17 15:58:04.529,1,,,,False,False,FP2,32.4,24.3,38.0
0 days 01:15:10.749000,PER,11,0 days 00:01:53.124000,17.0,4.0,,,0 days 00:00:31.905000,0 days 00:00:51.351000,0 days 00:00:29.868000,0 days 01:13:49.530000,0 days 01:14:40.881000,0 days 01:15:10.749000,311.0,196.0,212.0,289.0,False,SOFT,6.0,False,Cadillac,0 days 01:13:17.625000,2026-07-17 15:59:57.941,1,,,,False,True,FP2,31.4,24.3,38.1
0 days 01:17:27.109000,PER,11,0 days 00:02:16.360000,18.0,4.0,,,0 days 00:00:36.535000,0 days 00:00:56.669000,0 days 00:00:43.156000,0 days 01:15:47.284000,0 days 01:16:43.953000,0 days 01:17:27.109000,202.0,160.0,62.0,273.0,False,SOFT,7.0,False,Cadillac,0 days 01:15:10.749000,2026-07-17 16:01:51.065,1,,,,False,True,FP2,31.4,24.3,38.4
0 days 01:20:13.780000,PER,11,,19.0,4.0,,,0 days 00:00:54.792000,0 days 00:00:56.031000,0 days 00:00:55.810000,0 days 01:18:22.058000,0 days 01:19:18.025000,0 days 01:20:13.869000,307.0,183.0,7.0,295.0,False,SOFT,8.0,False,Cadillac,0 days 01:17:27.109000,2026-07-17 16:04:07.425,1,,,,False,False,FP2,31.7,24.3,37.9
0 days 01:22:38.538000,PER,11,0 days 00:02:24.758000,20.0,4.0,,0 days 01:22:34.518000,0 days 00:00:43.021000,0 days 00:00:59.086000,0 days 00:00:42.651000,0 days 01:20:56.801000,0 days 01:21:55.887000,0 days 01:22:38.538000,106.0,180.0,,289.0,False,SOFT,9.0,False,Cadillac,0 days 01:20:13.780000,2026-07-17 16:06:54.096,1,,,,False,False,FP2,31.6,24.3,38.0
0 days 00:16:04.529000,ANT,12,,1.0,1.0,0 days 00:13:43.086000,,,0 days 00:01:03.918000,0 days 00:00:33.359000,,0 days 00:15:31.360000,0 days 00:16:04.609000,259.0,182.0,214.0,214.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:13:43.086000,2026-07-17 15:00:23.402,1,,,,False,False,FP2,33.7,22.8,50.3
0 days 00:17:51.440000,ANT,12,0 days 00:01:46.911000,2.0,1.0,,,0 days 00:00:30.975000,0 days 00:00:47.236000,0 days 00:00:28.700000,0 days 00:16:35.504000,0 days 00:17:22.740000,0 days 00:17:51.440000,297.0,213.0,219.0,301.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:16:04.529000,2026-07-17 15:02:44.845,1,,,,False,True,FP2,34.6,22.9,48.3
0 days 00:20:55.911000,ANT,12,,3.0,1.0,,,0 days 00:01:00.417000,0 days 00:01:26.452000,0 days 00:00:37.569000,0 days 00:18:52.056000,0 days 00:20:18.442000,0 days 00:20:55.911000,109.0,120.0,216.0,165.0,False,MEDIUM,3.0,True,Mercedes,0 days 00:17:51.440000,2026-07-17 15:04:31.756,1,,,,False,False,FP2,35.1,23.1,49.0
