Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session
0 days 01:05:12.619000,OCO,31,0 days 00:01:25.601000,22.0,5.0,,,0 days 00:00:30.185000,0 days 00:00:18.312000,0 days 00:00:37.104000,0 days 01:04:17.203000,0 days 01:04:35.515000,0 days 01:05:12.619000,261.0,284.0,275.0,268.0,False,HARD,16.0,False,Haas F1 Team,0 days 01:03:47.018000,2026-03-06 05:50:59.198,1,,,,False,True,FP2
0 days 01:06:39.210000,OCO,31,0 days 00:01:26.591000,23.0,5.0,,,0 days 00:00:30.825000,0 days 00:00:18.216000,0 days 00:00:37.550000,0 days 01:05:43.444000,0 days 01:06:01.660000,0 days 01:06:39.210000,261.0,292.0,286.0,249.0,False,HARD,17.0,False,Haas F1 Team,0 days 01:05:12.619000,2026-03-06 05:52:24.799,1,,,,False,True,FP2
0 days 01:08:48.030000,OCO,31,0 days 00:02:08.820000,24.0,5.0,,0 days 01:08:21.268000,0 days 00:00:30.031000,0 days 00:00:18.314000,0 days 00:01:20.475000,0 days 01:07:09.241000,0 days 01:07:27.555000,0 days 01:08:48.030000,266.0,285.0,,281.0,False,HARD,18.0,False,Haas F1 Team,0 days 01:06:39.210000,2026-03-06 05:53:51.390,1267,,,,False,False,FP2
0 days 01:10:24.792000,OCO,31,0 days 00:01:36.762000,25.0,6.0,0 days 01:08:50.343000,,0 days 00:00:39.899000,0 days 00:00:18.799000,0 days 00:00:38.064000,0 days 01:09:27.929000,0 days 01:09:46.728000,0 days 01:10:24.792000,233.0,293.0,289.0,179.0,False,HARD,19.0,False,Haas F1 Team,0 days 01:08:48.030000,2026-03-06 05:56:00.210,71,,,,False,False,FP2
0 days 01:11:51.725000,OCO,31,0 days 00:01:26.933000,26.0,6.0,,,0 days 00:00:30.188000,0 days 00:00:18.806000,0 days 00:00:37.939000,0 days 01:10:54.980000,0 days 01:11:13.786000,0 days 01:11:51.725000,230.0,287.0,276.0,293.0,False,HARD,20.0,False,Haas F1 Team,0 days 01:10:24.792000,2026-03-06 05:57:36.972,1,,,,False,True,FP2
0 days 01:13:16.599000,OCO,31,0 days 00:01:24.874000,27.0,6.0,,,0 days 00:00:29.982000,0 days 00:00:18.047000,0 days 00:00:36.845000,0 days 01:12:21.707000,0 days 01:12:39.754000,0 days 01:13:16.599000,264.0,293.0,311.0,278.0,False,HARD,21.0,False,Haas F1 Team,0 days 01:11:51.725000,2026-03-06 05:59:03.905,1,,,,False,True,FP2
0 days 01:15:57.575000,OCO,31,,28.0,6.0,,,0 days 00:00:39.685000,0 days 00:00:25.142000,0 days 00:01:36.184000,0 days 01:13:56.373000,0 days 01:14:21.638000,0 days 01:15:57.575000,186.0,210.0,3.0,207.0,False,HARD,22.0,False,Haas F1 Team,0 days 01:13:16.599000,2026-03-06 06:00:28.779,1,,,,False,False,FP2
0 days 01:17:40.476000,OCO,31,,29.0,6.0,,0 days 01:17:40.476000,0 days 00:00:35.105000,0 days 00:00:26.178000,,0 days 01:16:32.797000,0 days 01:16:58.993000,,194.0,194.0,,232.0,False,HARD,23.0,False,Haas F1 Team,0 days 01:15:57.575000,2026-03-06 06:03:09.755,1,,,,False,False,FP2
0 days 00:16:01.399000,LIN,41,0 days 00:02:04.342000,1.0,1.0,0 days 00:14:07.320000,,0 days 00:00:59.756000,0 days 00:00:21.222000,0 days 00:00:43.364000,0 days 00:14:57.044000,0 days 00:15:18.207000,0 days 00:16:01.529000,228.0,271.0,278.0,97.0,False,MEDIUM,1.0,True,Racing Bulls,0 days 00:14:07.320000,2026-03-06 05:01:19.500,1,,,,False,False,FP2
0 days 00:17:42.425000,LIN,41,0 days 00:01:41.026000,2.0,1.0,,,0 days 00:00:35.215000,0 days 00:00:22.912000,0 days 00:00:42.899000,0 days 00:16:36.614000,0 days 00:16:59.526000,0 days 00:17:42.425000,214.0,271.0,273.0,298.0,True,MEDIUM,2.0,True,Racing Bulls,0 days 00:16:01.399000,2026-03-06 05:03:13.579,12,,,,False,True,FP2
0 days 00:19:05.386000,LIN,41,0 days 00:01:22.961000,3.0,1.0,,,0 days 00:00:29.298000,0 days 00:00:17.837000,0 days 00:00:35.826000,0 days 00:18:11.723000,0 days 00:18:29.560000,0 days 00:19:05.386000,251.0,295.0,296.0,288.0,True,MEDIUM,3.0,True,Racing Bulls,0 days 00:17:42.425000,2026-03-06 05:04:54.605,1,,,,False,True,FP2
0 days 00:20:57.845000,LIN,41,0 days 00:01:52.459000,4.0,1.0,,0 days 00:20:45.907000,0 days 00:00:33.951000,0 days 00:00:21.855000,0 days 00:00:56.653000,0 days 00:19:39.337000,0 days 00:20:01.192000,0 days 00:20:57.845000,232.0,241.0,,237.0,False,MEDIUM,4.0,True,Racing Bulls,0 days 00:19:05.386000,2026-03-06 05:06:17.566,1,,,,False,False,FP2
0 days 00:23:22.972000,LIN,41,0 days 00:02:25.127000,5.0,2.0,0 days 00:21:02.113000,0 days 00:23:11.691000,0 days 00:01:08.561000,0 days 00:00:24.953000,0 days 00:00:51.613000,0 days 00:22:06.406000,0 days 00:22:31.359000,0 days 00:23:22.972000,175.0,252.0,,182.0,False,MEDIUM,5.0,False,Racing Bulls,0 days 00:20:57.845000,2026-03-06 05:08:10.025,1,,,,False,False,FP2
0 days 00:25:41.287000,LIN,41,0 days 00:02:18.315000,6.0,3.0,0 days 00:23:25.541000,0 days 00:25:30.149000,0 days 00:01:02.916000,0 days 00:00:22.080000,0 days 00:00:53.319000,0 days 00:24:25.888000,0 days 00:24:47.968000,0 days 00:25:41.287000,213.0,230.0,,180.0,False,MEDIUM,6.0,False,Racing Bulls,0 days 00:23:22.972000,2026-03-06 05:10:35.152,1,,,,False,False,FP2
0 days 00:33:43.874000,LIN,41,,7.0,4.0,0 days 00:25:43.965000,0 days 00:27:58.922000,0 days 00:01:11.977000,0 days 00:00:26.485000,,0 days 00:26:53.457000,0 days 00:27:20.019000,,127.0,250.0,,200.0,False,MEDIUM,7.0,False,Racing Bulls,0 days 00:25:41.287000,2026-03-06 05:12:53.467,1,,,,False,False,FP2
0 days 00:35:38.267000,LIN,41,0 days 00:01:54.393000,8.0,5.0,0 days 00:33:45.947000,,0 days 00:00:44.001000,0 days 00:00:21.971000,0 days 00:00:48.421000,0 days 00:34:27.875000,0 days 00:34:49.846000,0 days 00:35:38.267000,220.0,231.0,271.0,155.0,False,SOFT,1.0,True,Racing Bulls,0 days 00:33:43.874000,2026-03-06 05:20:56.054,1,,,,False,False,FP2
