Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session
BEA,87,78.216,2.0,1.0,22.802,31.712,23.702,275.0,278.0,289.0,334.0,True,MEDIUM,2.0,True,Haas F1 Team,0 days 00:15:03.723000,1,Q
BEA,87,77.444,5.0,2.0,22.406,31.53,23.508,283.0,280.0,286.0,336.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:22:16.924000,1,Q
BEA,87,76.571,8.0,3.0,22.312,31.023,23.236,281.0,276.0,288.0,335.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:29:17.836000,1,Q
BEA,87,77.5,11.0,4.0,22.566,31.437,23.497,276.0,288.0,284.0,334.0,True,SOFT,5.0,False,Haas F1 Team,0 days 00:44:22.351000,1,Q
BEA,87,76.389,14.0,5.0,22.176,31.004,23.209,279.0,281.0,279.0,334.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:51:48.828000,1,Q
SAI,55,78.107,2.0,1.0,22.8,31.686,23.621,275.0,282.0,289.0,323.0,True,SOFT,2.0,True,Williams,0 days 00:15:10.947000,1,Q
SAI,55,78.173,5.0,2.0,23.019,31.672,23.482,266.0,286.0,288.0,317.0,False,SOFT,2.0,True,Williams,0 days 00:21:47.014000,1,Q
SAI,55,76.881,8.0,3.0,22.325,31.184,23.372,276.0,284.0,289.0,326.0,True,SOFT,2.0,True,Williams,0 days 00:29:34.732000,1,Q
SAI,55,78.395,11.0,4.0,22.948,31.795,23.652,271.0,287.0,288.0,325.0,True,SOFT,5.0,False,Williams,0 days 00:42:47.334000,1,Q
SAI,55,77.827,14.0,5.0,22.769,31.645,23.413,274.0,294.0,290.0,323.0,True,SOFT,5.0,False,Williams,0 days 00:50:36.119000,1,Q
OCO,31,78.171,2.0,1.0,22.734,31.659,23.778,272.0,278.0,282.0,332.0,True,MEDIUM,2.0,True,Haas F1 Team,0 days 00:14:58.410000,1,Q
OCO,31,78.136,5.0,2.0,23.288,31.328,23.52,278.0,281.0,292.0,329.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:22:26.449000,1,Q
OCO,31,77.073,8.0,3.0,22.395,31.248,23.43,280.0,279.0,280.0,337.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:29:12.212000,1,Q
ALB,23,78.252,2.0,1.0,22.748,31.776,23.728,278.0,279.0,295.0,324.0,True,SOFT,2.0,True,Williams,0 days 00:15:20.430000,1,Q
ALB,23,80.269,5.0,2.0,22.643,33.682,23.944,277.0,254.0,297.0,322.0,False,SOFT,2.0,True,Williams,0 days 00:21:53.837000,1,Q
