Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session
PIA,81,72.551,2.0,1.0,21.477,29.062,22.012,296.0,315.0,297.0,327.0,True,SOFT,2.0,True,McLaren,0 days 00:21:40.660000,1,Q
PIA,81,71.998,7.0,3.0,21.366,28.729,21.903,294.0,312.0,295.0,329.0,True,SOFT,2.0,True,McLaren,0 days 00:44:33.638000,1,Q
PIA,81,71.836,10.0,4.0,21.422,28.656,21.758,294.0,314.0,296.0,324.0,True,SOFT,2.0,True,McLaren,0 days 01:03:57.701000,1,Q
PIA,81,71.546,13.0,5.0,21.259,28.58,21.707,294.0,311.0,297.0,326.0,True,SOFT,2.0,True,McLaren,0 days 01:12:27.987000,1,Q
NOR,4,72.799,2.0,1.0,21.439,29.139,22.221,294.0,309.0,294.0,326.0,True,SOFT,2.0,True,McLaren,0 days 00:20:53.585000,1,Q
NOR,4,73.237,5.0,2.0,21.664,29.349,22.224,291.0,309.0,294.0,324.0,False,SOFT,5.0,False,McLaren,0 days 00:28:23.034000,1,Q
NOR,4,72.056,8.0,3.0,21.504,28.646,21.906,294.0,312.0,296.0,325.0,True,SOFT,2.0,True,McLaren,0 days 00:43:40.178000,1,Q
NOR,4,71.819,11.0,4.0,21.395,28.682,21.742,294.0,309.0,296.0,325.0,True,SOFT,2.0,True,McLaren,0 days 01:05:10.810000,1,Q
NOR,4,71.755,14.0,5.0,21.27,28.709,21.776,294.0,310.0,295.0,325.0,True,SOFT,2.0,True,McLaren,0 days 01:12:15.759000,1,Q
VER,1,72.798,2.0,1.0,21.612,29.189,21.997,292.0,311.0,295.0,324.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:23:21.610000,1,Q
VER,1,72.358,5.0,2.0,21.617,28.898,21.843,292.0,313.0,297.0,323.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:42:33.380000,1,Q
VER,1,72.321,8.0,3.0,21.454,29.047,21.82,292.0,314.0,293.0,326.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:04:25.493000,1,Q
VER,1,71.848,11.0,4.0,21.464,28.704,21.68,292.0,314.0,295.0,325.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:13:03.089000,1,Q
RUS,63,72.806,2.0,1.0,21.584,29.227,21.995,289.0,308.0,295.0,329.0,True,SOFT,2.0,True,Mercedes,0 days 00:21:09.183000,1,Q
RUS,63,72.407,5.0,2.0,21.443,29.029,21.935,290.0,310.0,295.0,330.0,True,SOFT,2.0,True,Mercedes,0 days 00:44:53.255000,1,Q
RUS,63,72.075,8.0,3.0,21.566,28.793,21.716,287.0,313.0,293.0,325.0,True,SOFT,2.0,True,Mercedes,0 days 01:04:17.082000,1,Q
RUS,63,71.848,11.0,4.0,21.376,28.719,21.753,290.0,313.0,294.0,327.0,True,SOFT,5.0,False,Mercedes,0 days 01:13:15.497000,1,Q
HAM,44,73.231,2.0,1.0,21.775,29.226,22.23,293.0,310.0,292.0,325.0,True,SOFT,2.0,True,Ferrari,0 days 00:22:17.363000,1,Q
HAM,44,73.058,5.0,2.0,21.583,29.333,22.142,293.0,311.0,293.0,325.0,True,SOFT,2.0,True,Ferrari,0 days 00:30:09.469000,1,Q
HAM,44,72.447,8.0,3.0,21.476,28.958,22.013,293.0,312.0,292.0,326.0,True,SOFT,2.0,True,Ferrari,0 days 00:44:23.949000,1,Q
HAM,44,72.433,11.0,4.0,21.56,28.926,21.947,292.0,313.0,293.0,326.0,True,SOFT,2.0,True,Ferrari,0 days 01:04:54.130000,1,Q
HAM,44,72.045,14.0,5.0,21.547,28.7,21.798,292.0,312.0,293.0,324.0,True,SOFT,2.0,True,Ferrari,0 days 01:12:55.384000,1,Q
