Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session,TrackTemp,AirTemp,Humidity
0 days 01:10:34.940000,LEC,16,0 days 00:01:27.888000,33.0,5.0,,,0 days 00:00:27.499000,0 days 00:00:32.280000,0 days 00:00:28.109000,0 days 01:09:34.551000,0 days 01:10:06.831000,0 days 01:10:34.940000,276.0,208.0,302.0,306.0,False,SOFT,6.0,False,Ferrari,0 days 01:09:07.052000,2026-08-21 11:25:40.949,1,,,,False,True,FP1,30.7,19.3,63.2
0 days 01:11:48.178000,LEC,16,0 days 00:01:13.238000,34.0,5.0,,,0 days 00:00:25.221000,0 days 00:00:25.961000,0 days 00:00:22.056000,0 days 01:11:00.161000,0 days 01:11:26.122000,0 days 01:11:48.178000,292.0,287.0,310.0,306.0,True,SOFT,7.0,False,Ferrari,0 days 01:10:34.940000,2026-08-21 11:27:08.837,1,,,,False,True,FP1,30.7,19.3,63.2
0 days 01:13:20.760000,LEC,16,0 days 00:01:32.582000,35.0,5.0,,,0 days 00:00:30.780000,0 days 00:00:34.292000,0 days 00:00:27.510000,0 days 01:12:18.958000,0 days 01:12:53.250000,0 days 01:13:20.760000,218.0,206.0,304.0,247.0,False,SOFT,8.0,False,Ferrari,0 days 01:11:48.178000,2026-08-21 11:28:22.075,1,,,,False,True,FP1,30.7,19.3,63.2
0 days 01:14:37.304000,LEC,16,0 days 00:01:16.544000,36.0,5.0,,,0 days 00:00:25.023000,0 days 00:00:25.954000,0 days 00:00:25.567000,0 days 01:13:45.783000,0 days 01:14:11.737000,0 days 01:14:37.304000,292.0,286.0,234.0,310.0,False,SOFT,9.0,False,Ferrari,0 days 01:13:20.760000,2026-08-21 11:29:54.657,1,,,,False,True,FP1,30.7,19.3,63.2
0 days 01:17:18.290000,LEC,16,,37.0,5.0,,,0 days 00:00:36.169000,0 days 00:00:39.829000,0 days 00:01:24.819000,0 days 01:15:13.787000,0 days 01:15:53.614000,0 days 01:17:18.325000,174.0,169.0,3.0,198.0,False,SOFT,10.0,False,Ferrari,0 days 01:14:37.304000,2026-08-21 11:31:11.201,12,,,,False,False,FP1,29.9,19.4,62.9
0 days 01:19:24.105000,LEC,16,0 days 00:02:05.815000,38.0,5.0,,,0 days 00:00:39.695000,0 days 00:00:38.217000,0 days 00:00:47.903000,0 days 01:17:57.985000,0 days 01:18:36.202000,0 days 01:19:24.105000,161.0,154.0,68.0,186.0,False,SOFT,11.0,False,Ferrari,0 days 01:17:18.290000,2026-08-21 11:33:52.187,2,,,,False,True,FP1,29.9,19.4,62.9
0 days 01:21:31.569000,LEC,16,0 days 00:02:07.464000,39.0,5.0,,0 days 01:21:30.065000,0 days 00:00:55.578000,0 days 00:00:29.931000,0 days 00:00:41.955000,0 days 01:20:19.683000,0 days 01:20:49.614000,0 days 01:21:31.569000,288.0,245.0,,215.0,False,SOFT,12.0,False,Ferrari,0 days 01:19:24.105000,2026-08-21 11:35:58.002,2,,,,False,False,FP1,29.9,19.4,62.9
0 days 00:19:09.064000,STR,18,,1.0,1.0,0 days 00:17:16.411000,,,0 days 00:00:45.434000,0 days 00:00:31.187000,,0 days 00:18:37.995000,0 days 00:19:09.064000,195.0,201.0,273.0,,False,INTERMEDIATE,1.0,True,Aston Martin,0 days 00:17:16.411000,2026-08-21 10:33:50.308,1,,,,False,False,FP1,29.9,19.4,62.9
0 days 00:21:10.913000,STR,18,0 days 00:02:01.849000,2.0,1.0,,0 days 00:21:09.122000,0 days 00:00:40.451000,0 days 00:00:40.889000,0 days 00:00:40.509000,0 days 00:19:49.515000,0 days 00:20:30.404000,0 days 00:21:10.913000,150.0,211.0,,198.0,False,INTERMEDIATE,2.0,True,Aston Martin,0 days 00:19:09.064000,2026-08-21 10:35:42.961,1,,,,False,False,FP1,29.9,19.4,62.9
0 days 00:29:10.365000,STR,18,,3.0,2.0,0 days 00:27:35.513000,,,0 days 00:00:32.016000,0 days 00:00:27.457000,,0 days 00:28:43.069000,0 days 00:29:10.514000,256.0,232.0,297.0,198.0,False,MEDIUM,1.0,True,Aston Martin,0 days 00:21:10.913000,2026-08-21 10:37:44.810,1,,,,False,False,FP1,29.9,19.4,62.9
0 days 00:30:30.127000,STR,18,0 days 00:01:19.762000,4.0,2.0,,,0 days 00:00:27.547000,0 days 00:00:28.276000,0 days 00:00:23.939000,0 days 00:29:37.912000,0 days 00:30:06.188000,0 days 00:30:30.127000,285.0,279.0,296.0,258.0,True,MEDIUM,2.0,True,Aston Martin,0 days 00:29:10.365000,2026-08-21 10:45:44.262,1,,,,False,True,FP1,29.9,19.4,62.9
0 days 00:32:16.595000,STR,18,0 days 00:01:46.468000,5.0,2.0,,,0 days 00:00:33.263000,0 days 00:00:36.373000,0 days 00:00:36.832000,0 days 00:31:03.390000,0 days 00:31:39.763000,0 days 00:32:16.595000,236.0,171.0,297.0,243.0,False,MEDIUM,3.0,True,Aston Martin,0 days 00:30:30.127000,2026-08-21 10:47:04.024,12,,,,False,True,FP1,29.9,19.4,62.9
0 days 00:33:33.779000,STR,18,0 days 00:01:17.184000,6.0,2.0,,,0 days 00:00:26.717000,0 days 00:00:27.156000,0 days 00:00:23.311000,0 days 00:32:43.312000,0 days 00:33:10.468000,0 days 00:33:33.779000,286.0,281.0,296.0,285.0,True,MEDIUM,4.0,True,Aston Martin,0 days 00:32:16.595000,2026-08-21 10:48:50.492,1,,,,False,True,FP1,29.9,19.4,62.9
0 days 00:35:23.963000,STR,18,0 days 00:01:50.184000,7.0,2.0,,,0 days 00:00:35.702000,0 days 00:00:45.436000,0 days 00:00:29.046000,0 days 00:34:09.481000,0 days 00:34:54.917000,0 days 00:35:23.963000,227.0,147.0,297.0,222.0,False,MEDIUM,5.0,True,Aston Martin,0 days 00:33:33.779000,2026-08-21 10:50:07.676,1,,,,False,True,FP1,29.9,19.4,62.9
0 days 00:36:40.192000,STR,18,0 days 00:01:16.229000,8.0,2.0,,,0 days 00:00:26.312000,0 days 00:00:26.712000,0 days 00:00:23.205000,0 days 00:35:50.275000,0 days 00:36:16.987000,0 days 00:36:40.192000,285.0,279.0,291.0,299.0,True,MEDIUM,6.0,True,Aston Martin,0 days 00:35:23.963000,2026-08-21 10:51:57.860,1,,,,False,True,FP1,29.9,19.4,62.9
0 days 00:38:32.502000,STR,18,0 days 00:01:52.310000,9.0,2.0,,,0 days 00:00:41.330000,0 days 00:00:39.847000,0 days 00:00:31.133000,0 days 00:37:21.522000,0 days 00:38:01.369000,0 days 00:38:32.502000,141.0,228.0,298.0,221.0,False,MEDIUM,7.0,True,Aston Martin,0 days 00:36:40.192000,2026-08-21 10:53:14.089,1,,,,False,True,FP1,29.9,19.4,62.9
0 days 00:39:48.797000,STR,18,0 days 00:01:16.295000,10.0,2.0,,,0 days 00:00:26.405000,0 days 00:00:26.691000,0 days 00:00:23.199000,0 days 00:38:58.907000,0 days 00:39:25.598000,0 days 00:39:48.797000,284.0,281.0,292.0,299.0,False,MEDIUM,8.0,True,Aston Martin,0 days 00:38:32.502000,2026-08-21 10:55:06.399,12,,,,False,True,FP1,28.0,19.4,61.0
0 days 00:41:29.172000,STR,18,0 days 00:01:40.375000,11.0,2.0,,0 days 00:41:27.953000,0 days 00:00:31.722000,0 days 00:00:33.233000,0 days 00:00:35.420000,0 days 00:40:20.519000,0 days 00:40:53.752000,0 days 00:41:29.172000,230.0,201.0,,220.0,False,MEDIUM,9.0,True,Aston Martin,0 days 00:39:48.797000,2026-08-21 10:56:22.694,1,,,,False,False,FP1,28.0,19.4,61.0
0 days 00:49:51.581000,STR,18,,12.0,3.0,0 days 00:48:19.935000,,,0 days 00:00:29.755000,0 days 00:00:26.468000,,0 days 00:49:25.305000,0 days 00:49:51.652000,259.0,237.0,279.0,220.0,False,MEDIUM,10.0,False,Aston Martin,0 days 00:41:29.172000,2026-08-21 10:58:03.069,1,,,,False,False,FP1,28.0,19.4,61.0
0 days 00:51:21.996000,STR,18,0 days 00:01:30.415000,13.0,3.0,,,0 days 00:00:31.479000,0 days 00:00:34.220000,0 days 00:00:24.716000,0 days 00:50:23.060000,0 days 00:50:57.280000,0 days 00:51:21.996000,234.0,255.0,317.0,219.0,False,MEDIUM,11.0,False,Aston Martin,0 days 00:49:51.581000,2026-08-21 11:06:25.478,1,,,,False,True,FP1,28.0,19.4,61.0
0 days 00:52:39.573000,STR,18,0 days 00:01:17.577000,14.0,3.0,,,0 days 00:00:27.073000,0 days 00:00:27.316000,0 days 00:00:23.188000,0 days 00:51:49.069000,0 days 00:52:16.385000,0 days 00:52:39.573000,271.0,270.0,315.0,286.0,False,MEDIUM,12.0,False,Aston Martin,0 days 00:51:21.996000,2026-08-21 11:07:55.893,1,,,,False,True,FP1,28.0,19.4,61.0
0 days 00:53:56.747000,STR,18,0 days 00:01:17.174000,15.0,3.0,,,0 days 00:00:26.617000,0 days 00:00:27.551000,0 days 00:00:23.006000,0 days 00:53:06.190000,0 days 00:53:33.741000,0 days 00:53:56.747000,269.0,267.0,316.0,298.0,False,MEDIUM,13.0,False,Aston Martin,0 days 00:52:39.573000,2026-08-21 11:09:13.470,1,,,,False,True,FP1,28.0,19.4,61.0
0 days 00:55:14.140000,STR,18,0 days 00:01:17.393000,16.0,3.0,,,0 days 00:00:26.589000,0 days 00:00:27.562000,0 days 00:00:23.242000,0 days 00:54:23.336000,0 days 00:54:50.898000,0 days 00:55:14.140000,267.0,265.0,314.0,298.0,False,MEDIUM,14.0,False,Aston Martin,0 days 00:53:56.747000,2026-08-21 11:10:30.644,1,,,,False,True,FP1,28.0,19.4,61.0
0 days 00:56:43.053000,STR,18,0 days 00:01:28.913000,17.0,3.0,,0 days 00:56:41.481000,0 days 00:00:26.663000,0 days 00:00:29.113000,0 days 00:00:33.137000,0 days 00:55:40.803000,0 days 00:56:09.916000,0 days 00:56:43.053000,267.0,214.0,,298.0,False,MEDIUM,15.0,False,Aston Martin,0 days 00:55:14.140000,2026-08-21 11:11:48.037,1,,,,False,False,FP1,28.0,19.4,61.0
0 days 01:03:08.682000,STR,18,,18.0,4.0,0 days 01:01:41.554000,,,0 days 00:00:28.897000,0 days 00:00:28.722000,,0 days 01:02:40.123000,0 days 01:03:08.781000,263.0,237.0,298.0,298.0,False,SOFT,1.0,True,Aston Martin,0 days 00:56:43.053000,2026-08-21 11:13:16.950,12,,,,False,False,FP1,28.0,19.4,61.0
0 days 01:04:23.881000,STR,18,0 days 00:01:15.199000,19.0,4.0,,,0 days 00:00:26.010000,0 days 00:00:26.479000,0 days 00:00:22.710000,0 days 01:03:34.692000,0 days 01:04:01.171000,0 days 01:04:23.881000,286.0,281.0,302.0,307.0,True,SOFT,2.0,True,Aston Martin,0 days 01:03:08.682000,2026-08-21 11:19:42.579,1,,,,False,True,FP1,28.0,19.4,61.0
