Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Session
HAD,6,125.814,3.0,1.0,35.827,37.439,52.548,181.0,218.0,274.0,177.0,False,MEDIUM,3.0,True,Red Bull Racing,1,Q
HAD,6,94.396,4.0,1.0,24.83,28.45,41.116,285.0,284.0,264.0,314.0,True,MEDIUM,4.0,True,Red Bull Racing,1,Q
HAD,6,93.632,7.0,2.0,24.465,28.324,40.843,283.0,276.0,263.0,316.0,True,SOFT,2.0,True,Red Bull Racing,1,Q
HAD,6,93.352,10.0,3.0,24.487,28.136,40.729,282.0,275.0,265.0,315.0,True,SOFT,2.0,True,Red Bull Racing,1,Q
HAD,6,93.497,13.0,4.0,24.474,28.023,41.0,284.0,282.0,275.0,309.0,False,SOFT,2.0,True,Red Bull Racing,1,Q
HAD,6,93.354,16.0,5.0,24.488,28.196,40.67,284.0,276.0,260.0,316.0,True,SOFT,5.0,False,Red Bull Racing,1,Q
HAD,6,93.121,19.0,6.0,24.529,27.933,40.659,284.0,275.0,260.0,311.0,True,SOFT,2.0,True,Red Bull Racing,1,Q
BEA,87,94.804,2.0,1.0,24.937,28.623,41.244,290.0,273.0,260.0,314.0,True,SOFT,12.0,False,Haas F1 Team,1,Q
BEA,87,93.756,5.0,2.0,24.696,28.104,40.956,290.0,269.0,260.0,309.0,True,SOFT,2.0,True,Haas F1 Team,1,Q
BEA,87,135.892,6.0,2.0,42.481,36.085,57.326,211.0,215.0,274.0,278.0,False,SOFT,3.0,True,Haas F1 Team,1,Q
BEA,87,93.687,7.0,2.0,24.538,28.209,40.94,291.0,273.0,262.0,311.0,True,SOFT,4.0,True,Haas F1 Team,1,Q
BEA,87,93.197,10.0,3.0,24.348,27.847,41.002,290.0,265.0,265.0,308.0,True,SOFT,2.0,True,Haas F1 Team,1,Q
BEA,87,93.956,15.0,5.0,24.415,28.61,40.931,288.0,265.0,264.0,306.0,True,SOFT,2.0,True,Haas F1 Team,1,Q
BEA,87,93.292,18.0,6.0,24.361,27.891,41.04,288.0,269.0,257.0,301.0,True,SOFT,2.0,True,Haas F1 Team,1,Q
HUL,27,94.116,3.0,2.0,24.876,28.201,41.039,287.0,284.0,266.0,315.0,True,SOFT,2.0,True,Audi,1,Q
HUL,27,130.677,4.0,2.0,33.73,40.93,56.017,168.0,219.0,274.0,279.0,False,SOFT,3.0,True,Audi,1,Q
HUL,27,94.158,5.0,2.0,24.86,28.365,40.933,286.0,285.0,269.0,313.0,False,SOFT,4.0,True,Audi,1,Q
HUL,27,93.368,8.0,3.0,24.558,28.067,40.743,285.0,281.0,271.0,313.0,True,SOFT,2.0,True,Audi,1,Q
HUL,27,93.354,11.0,4.0,24.592,27.937,40.825,286.0,283.0,271.0,310.0,True,SOFT,2.0,True,Audi,1,Q
COL,43,95.973,2.0,1.0,25.029,29.014,41.93,285.0,275.0,251.0,313.0,True,SOFT,2.0,True,Alpine,1,Q
COL,43,94.388,5.0,2.0,24.577,28.278,41.533,285.0,274.0,249.0,309.0,True,SOFT,2.0,True,Alpine,1,Q
COL,43,93.634,8.0,3.0,24.439,28.248,40.947,288.0,276.0,251.0,320.0,True,SOFT,2.0,True,Alpine,1,Q
COL,43,93.616,11.0,4.0,24.413,28.127,41.076,285.0,276.0,253.0,314.0,True,SOFT,2.0,True,Alpine,1,Q
COL,43,93.357,14.0,5.0,24.254,28.078,41.025,286.0,275.0,250.0,317.0,True,SOFT,2.0,True,Alpine,12,Q
OCO,31,94.904,2.0,1.0,24.622,28.94,41.342,297.0,278.0,266.0,310.0,True,SOFT,9.0,False,Haas F1 Team,1,Q
OCO,31,94.068,5.0,2.0,24.522,28.275,41.271,288.0,271.0,258.0,307.0,True,SOFT,2.0,True,Haas F1 Team,1,Q
OCO,31,130.55,6.0,2.0,32.414,37.761,60.375,212.0,182.0,274.0,275.0,False,SOFT,3.0,True,Haas F1 Team,1,Q
OCO,31,93.974,7.0,2.0,24.615,28.331,41.028,290.0,272.0,263.0,309.0,True,SOFT,4.0,True,Haas F1 Team,1,Q
OCO,31,93.538,10.0,3.0,24.344,28.064,41.13,286.0,266.0,258.0,308.0,True,SOFT,2.0,True,Haas F1 Team,1,Q
OCO,31,97.148,13.0,4.0,24.335,28.041,44.772,287.0,272.0,134.0,306.0,False,SOFT,2.0,True,Haas F1 Team,12,Q
LAW,30,94.731,2.0,1.0,24.857,28.518,41.356,292.0,287.0,267.0,316.0,True,SOFT,2.0,True,Racing Bulls,1,Q
LAW,30,94.209,5.0,2.0,24.644,28.495,41.07,291.0,289.0,260.0,319.0,True,SOFT,2.0,True,Racing Bulls,1,Q
LAW,30,112.876,6.0,2.0,27.885,33.806,51.185,238.0,244.0,241.0,259.0,False,SOFT,3.0,True,Racing Bulls,1,Q
LAW,30,111.381,7.0,2.0,29.079,33.118,49.184,235.0,251.0,278.0,259.0,False,SOFT,4.0,True,Racing Bulls,1,Q
LAW,30,94.139,8.0,2.0,24.588,28.64,40.911,291.0,288.0,262.0,313.0,True,SOFT,5.0,True,Racing Bulls,1,Q
LAW,30,93.765,11.0,3.0,24.634,28.157,40.974,291.0,290.0,262.0,311.0,True,SOFT,5.0,False,Racing Bulls,1,Q
LAW,30,96.237,14.0,4.0,24.339,28.117,43.781,291.0,290.0,202.0,311.0,False,SOFT,2.0,True,Racing Bulls,12,Q
LIN,41,114.185,2.0,1.0,25.115,39.885,49.185,288.0,252.0,276.0,274.0,True,SOFT,2.0,True,Racing Bulls,1,Q
LIN,41,95.035,3.0,1.0,24.862,28.739,41.434,289.0,285.0,263.0,317.0,True,SOFT,3.0,True,Racing Bulls,1,Q
LIN,41,120.01,4.0,1.0,35.054,35.808,49.148,237.0,251.0,278.0,283.0,False,SOFT,4.0,True,Racing Bulls,1,Q
LIN,41,95.961,5.0,1.0,24.732,28.689,42.54,289.0,288.0,259.0,309.0,False,SOFT,5.0,True,Racing Bulls,1,Q
LIN,41,93.906,8.0,2.0,24.542,28.461,40.903,291.0,288.0,258.0,316.0,True,SOFT,2.0,True,Racing Bulls,1,Q
LIN,41,93.784,11.0,3.0,24.492,28.254,41.038,290.0,287.0,261.0,312.0,True,SOFT,2.0,True,Racing Bulls,1,Q
LIN,41,98.588,14.0,4.0,24.319,28.181,46.088,291.0,284.0,140.0,312.0,False,SOFT,2.0,True,Racing Bulls,12,Q
BOR,5,94.349,3.0,2.0,24.682,28.367,41.3,282.0,286.0,260.0,315.0,True,SOFT,2.0,True,Audi,1,Q
BOR,5,131.917,4.0,2.0,35.106,35.703,61.108,167.0,230.0,266.0,248.0,False,SOFT,3.0,True,Audi,1,Q
BOR,5,94.484,5.0,2.0,24.759,28.231,41.494,281.0,286.0,260.0,317.0,False,SOFT,4.0,True,Audi,1,Q
BOR,5,93.549,8.0,3.0,24.539,28.214,40.796,282.0,284.0,260.0,316.0,True,SOFT,2.0,True,Audi,1,Q
BOR,5,93.965,11.0,4.0,24.607,28.272,41.086,282.0,286.0,264.0,316.0,True,SOFT,2.0,True,Audi,1,Q
