Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session
OCO,31,91.795,11.0,4.0,24.334,27.511,39.95,286.0,280.0,269.0,326.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:41:13.315000,1,Q
OCO,31,91.625,14.0,5.0,24.246,27.489,39.89,286.0,279.0,271.0,326.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:51:00.235000,1,Q
HUL,27,92.677,2.0,1.0,24.57,27.768,40.339,283.0,278.0,269.0,335.0,True,SOFT,2.0,True,Audi,0 days 00:14:55.204000,1,Q
HUL,27,92.035,5.0,2.0,24.36,27.663,40.012,286.0,279.0,266.0,330.0,True,SOFT,2.0,True,Audi,0 days 00:22:10.912000,1,Q
HUL,27,91.921,8.0,3.0,24.303,27.609,40.009,285.0,279.0,269.0,333.0,True,SOFT,2.0,True,Audi,0 days 00:29:25.647000,1,Q
HUL,27,91.726,11.0,4.0,24.08,27.655,39.991,285.0,280.0,270.0,332.0,True,SOFT,2.0,True,Audi,0 days 00:43:13.763000,1,Q
HUL,27,91.632,14.0,5.0,24.256,27.481,39.895,285.0,279.0,270.0,333.0,True,SOFT,2.0,True,Audi,0 days 00:50:13.791000,1,Q
ALO,14,93.191,2.0,1.0,24.475,28.249,40.467,281.0,272.0,268.0,330.0,True,SOFT,5.0,False,Aston Martin,0 days 00:15:05.985000,1,Q
ALO,14,92.058,5.0,2.0,24.225,27.617,40.216,282.0,276.0,267.0,325.0,True,SOFT,2.0,True,Aston Martin,0 days 00:20:56.037000,1,Q
ALO,14,91.719,8.0,3.0,24.117,27.736,39.866,282.0,276.0,271.0,326.0,True,SOFT,2.0,True,Aston Martin,0 days 00:29:39.221000,1,Q
ALO,14,91.87,11.0,4.0,24.171,27.539,40.16,283.0,278.0,270.0,326.0,True,SOFT,2.0,True,Aston Martin,0 days 00:42:20.779000,1,Q
ALO,14,91.688,14.0,5.0,24.067,27.56,40.061,282.0,276.0,268.0,328.0,True,SOFT,2.0,True,Aston Martin,0 days 00:51:47.325000,1,Q
STR,18,93.024,2.0,1.0,24.652,27.882,40.49,281.0,275.0,267.0,331.0,True,SOFT,9.0,False,Aston Martin,0 days 00:14:47.939000,1,Q
STR,18,92.165,5.0,2.0,24.414,27.592,40.159,283.0,275.0,268.0,333.0,True,SOFT,2.0,True,Aston Martin,0 days 00:20:27.851000,1,Q
STR,18,91.923,8.0,3.0,24.267,27.617,40.039,283.0,277.0,272.0,333.0,True,SOFT,2.0,True,Aston Martin,0 days 00:29:19.423000,1,Q
STR,18,91.773,11.0,4.0,24.267,27.391,40.115,284.0,278.0,269.0,326.0,True,SOFT,2.0,True,Aston Martin,0 days 00:41:55.876000,1,Q
STR,18,91.851,14.0,5.0,24.133,27.628,40.09,283.0,277.0,270.0,327.0,False,SOFT,2.0,True,Aston Martin,0 days 00:51:31.138000,1,Q
SAI,55,93.012,2.0,1.0,24.635,27.737,40.64,281.0,276.0,267.0,332.0,True,SOFT,5.0,False,Williams,0 days 00:15:22.826000,1,Q
SAI,55,92.241,5.0,2.0,24.479,27.641,40.121,284.0,278.0,267.0,332.0,True,SOFT,2.0,True,Williams,0 days 00:21:23.298000,1,Q
SAI,55,91.628,8.0,3.0,24.289,27.48,39.859,284.0,278.0,269.0,330.0,True,SOFT,2.0,True,Williams,0 days 00:30:30.347000,1,Q
SAI,55,91.966,11.0,4.0,24.308,27.525,40.133,285.0,279.0,272.0,332.0,True,SOFT,2.0,True,Williams,0 days 00:41:32.393000,1,Q
SAI,55,91.84,14.0,5.0,24.231,27.5,40.109,284.0,279.0,268.0,333.0,True,SOFT,2.0,True,Williams,0 days 00:51:54.252000,1,Q
GAS,10,92.31,2.0,1.0,24.345,27.774,40.191,280.0,275.0,266.0,331.0,True,SOFT,5.0,False,Alpine,0 days 00:16:03.502000,12,Q
GAS,10,92.214,5.0,2.0,24.328,27.857,40.029,282.0,274.0,269.0,328.0,True,SOFT,2.0,True,Alpine,0 days 00:22:02.588000,1,Q
GAS,10,91.992,8.0,3.0,24.128,27.601,40.263,282.0,276.0,270.0,330.0,True,SOFT,2.0,True,Alpine,0 days 00:30:44.811000,1,Q
BEA,87,92.77,2.0,1.0,24.71,27.859,40.201,283.0,276.0,269.0,329.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:15:30.590000,12,Q
BEA,87,92.018,5.0,2.0,24.427,27.599,39.992,286.0,277.0,270.0,327.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:23:00.934000,1,Q
BOR,5,92.936,2.0,1.0,24.674,27.908,40.354,284.0,276.0,266.0,333.0,True,SOFT,2.0,True,Audi,0 days 00:15:01.199000,1,Q
BOR,5,92.141,5.0,2.0,24.516,27.517,40.108,285.0,278.0,263.0,330.0,True,SOFT,2.0,True,Audi,0 days 00:21:01.381000,1,Q
BOR,5,92.157,8.0,3.0,24.318,27.768,40.071,285.0,276.0,268.0,332.0,False,SOFT,2.0,True,Audi,0 days 00:29:47.218000,1,Q
LAW,30,92.492,4.0,2.0,24.557,27.649,40.286,284.0,277.0,267.0,331.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:21:46.744000,1,Q
LAW,30,92.174,7.0,3.0,24.522,27.622,40.03,285.0,275.0,270.0,332.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:30:48.181000,1,Q
