Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session,TrackTemp,AirTemp,Humidity
ANT,12,85.637,3.0,1.0,27.811,28.943,28.883,293.0,312.0,278.0,325.0,True,MEDIUM,3.0,True,Mercedes,0 days 00:17:31.574000,1,FP1,50.2,30.4,40.0
ANT,12,131.473,4.0,1.0,49.004,48.56,33.909,97.0,208.0,296.0,151.0,False,MEDIUM,4.0,True,Mercedes,0 days 00:18:57.211000,1,FP1,50.2,30.4,40.0
ANT,12,84.515,5.0,1.0,27.348,28.604,28.563,292.0,313.0,280.0,329.0,True,MEDIUM,5.0,True,Mercedes,0 days 00:21:08.684000,1,FP1,50.2,30.4,40.0
ANT,12,83.644,9.0,3.0,27.277,28.205,28.162,292.0,315.0,280.0,324.0,True,SOFT,3.0,False,Mercedes,0 days 00:40:11.338000,1,FP1,50.2,30.4,40.0
ANT,12,87.372,12.0,4.0,28.524,29.839,29.009,290.0,303.0,286.0,295.0,False,MEDIUM,8.0,False,Mercedes,0 days 00:49:38.034000,1,FP1,50.2,30.4,40.0
ANT,12,87.201,13.0,4.0,28.785,29.641,28.775,290.0,304.0,292.0,295.0,False,MEDIUM,9.0,False,Mercedes,0 days 00:51:05.406000,1,FP1,50.2,30.4,40.0
ANT,12,86.973,14.0,4.0,28.775,29.526,28.672,289.0,303.0,290.0,299.0,False,MEDIUM,10.0,False,Mercedes,0 days 00:52:32.607000,1,FP1,50.2,30.4,40.0
ANT,12,86.541,15.0,4.0,28.646,29.423,28.472,289.0,303.0,296.0,297.0,False,MEDIUM,11.0,False,Mercedes,0 days 00:53:59.580000,1,FP1,50.3,30.5,39.5
ANT,12,86.639,16.0,4.0,28.631,29.437,28.571,289.0,303.0,300.0,296.0,False,MEDIUM,12.0,False,Mercedes,0 days 00:55:26.121000,1,FP1,50.3,30.5,39.5
ANT,12,86.303,17.0,4.0,28.56,29.35,28.393,289.0,305.0,298.0,297.0,False,MEDIUM,13.0,False,Mercedes,0 days 00:56:52.760000,1,FP1,50.3,30.5,39.5
ANT,12,86.292,18.0,4.0,28.398,29.47,28.424,291.0,312.0,300.0,297.0,False,MEDIUM,14.0,False,Mercedes,0 days 00:58:19.063000,1,FP1,50.3,30.5,39.5
ANT,12,85.972,19.0,4.0,28.286,29.327,28.359,294.0,311.0,303.0,304.0,False,MEDIUM,15.0,False,Mercedes,0 days 00:59:45.355000,1,FP1,50.3,30.5,39.5
ANT,12,86.21,20.0,4.0,28.377,29.506,28.327,297.0,312.0,303.0,313.0,False,MEDIUM,16.0,False,Mercedes,0 days 01:01:11.327000,1,FP1,50.3,30.5,39.5
ANT,12,86.202,21.0,4.0,28.228,29.498,28.476,298.0,318.0,306.0,316.0,False,MEDIUM,17.0,False,Mercedes,0 days 01:02:37.537000,1,FP1,50.3,30.5,39.5
ANT,12,85.821,22.0,4.0,28.277,29.297,28.247,294.0,310.0,302.0,303.0,False,MEDIUM,18.0,False,Mercedes,0 days 01:04:03.739000,1,FP1,50.3,30.5,39.5
ANT,12,86.298,23.0,4.0,28.307,29.619,28.372,293.0,307.0,302.0,302.0,False,MEDIUM,19.0,False,Mercedes,0 days 01:05:29.560000,1,FP1,50.3,30.5,39.5
ANT,12,111.408,26.0,5.0,33.718,33.217,44.473,238.0,235.0,47.0,239.0,False,SOFT,6.0,False,Mercedes,0 days 01:14:00.867000,1,FP1,50.3,30.5,39.5
ALO,14,100.083,2.0,1.0,31.898,36.568,31.617,263.0,282.0,289.0,263.0,True,HARD,2.0,True,Aston Martin,0 days 00:14:43.147000,1,FP1,50.3,30.5,39.5
ALO,14,88.728,7.0,3.0,29.004,30.355,29.369,279.0,295.0,272.0,302.0,True,HARD,7.0,False,Aston Martin,0 days 00:40:17.748000,1,FP1,50.4,30.6,39.4
ALO,14,110.09,8.0,3.0,36.728,40.399,32.963,226.0,263.0,280.0,170.0,False,HARD,8.0,False,Aston Martin,0 days 00:41:46.476000,1,FP1,50.4,30.6,39.4
ALO,14,87.393,9.0,3.0,28.683,29.674,29.036,278.0,294.0,272.0,306.0,True,HARD,9.0,False,Aston Martin,0 days 00:43:36.566000,1,FP1,50.4,30.6,39.4
ALO,14,115.464,10.0,3.0,38.869,39.894,36.701,194.0,173.0,284.0,194.0,False,HARD,10.0,False,Aston Martin,0 days 00:45:03.959000,1,FP1,50.4,30.6,39.4
ALO,14,86.143,11.0,3.0,28.275,29.177,28.691,281.0,301.0,274.0,313.0,True,HARD,11.0,False,Aston Martin,0 days 00:46:59.423000,1,FP1,50.4,30.6,39.4
ALO,14,85.78,14.0,4.0,28.088,29.162,28.53,284.0,300.0,274.0,318.0,False,MEDIUM,2.0,True,Aston Martin,0 days 01:03:17.116000,1,FP1,50.7,30.6,38.9
ALO,14,86.254,17.0,5.0,28.266,29.217,28.771,282.0,300.0,271.0,312.0,False,MEDIUM,5.0,False,Aston Martin,0 days 01:09:07.876000,1,FP1,50.7,30.6,38.9
ALO,14,113.369,18.0,5.0,34.936,38.99,39.443,182.0,264.0,283.0,248.0,False,MEDIUM,6.0,False,Aston Martin,0 days 01:10:34.130000,1,FP1,50.7,30.6,38.9
ALO,14,86.072,19.0,5.0,28.122,29.13,28.82,283.0,302.0,271.0,310.0,True,MEDIUM,7.0,False,Aston Martin,0 days 01:12:27.499000,1,FP1,50.7,30.6,38.9
ALO,14,123.868,20.0,5.0,38.976,34.872,50.02,210.0,217.0,53.0,123.0,False,MEDIUM,8.0,False,Aston Martin,0 days 01:13:53.571000,1,FP1,50.7,30.6,38.9
LEC,16,86.873,2.0,1.0,28.391,29.504,28.978,284.0,304.0,272.0,314.0,True,HARD,2.0,True,Ferrari,0 days 00:15:26.898000,1,FP1,50.5,30.6,38.8
LEC,16,124.855,3.0,1.0,41.577,48.567,34.711,179.0,153.0,282.0,164.0,False,HARD,3.0,True,Ferrari,0 days 00:16:53.771000,1,FP1,50.5,30.6,38.8
LEC,16,84.482,4.0,1.0,27.76,28.541,28.181,289.0,307.0,278.0,318.0,True,HARD,4.0,True,Ferrari,0 days 00:18:58.626000,1,FP1,50.5,30.6,38.8
LEC,16,131.801,5.0,1.0,42.126,50.304,39.371,167.0,189.0,283.0,177.0,False,HARD,5.0,True,Ferrari,0 days 00:20:23.108000,1,FP1,50.5,30.6,38.8
LEC,16,93.906,6.0,1.0,27.831,31.041,35.034,288.0,240.0,286.0,310.0,False,HARD,6.0,True,Ferrari,0 days 00:22:34.909000,1,FP1,50.5,30.6,38.8
LEC,16,104.142,7.0,1.0,27.504,36.333,40.305,293.0,214.0,284.0,324.0,False,HARD,7.0,True,Ferrari,0 days 00:24:08.815000,1,FP1,50.5,30.6,38.8
LEC,16,110.407,8.0,1.0,27.456,39.62,43.331,299.0,176.0,286.0,327.0,False,HARD,8.0,True,Ferrari,0 days 00:25:52.957000,1,FP1,50.6,30.6,38.8
LEC,16,84.023,9.0,1.0,27.525,28.414,28.084,290.0,310.0,276.0,324.0,True,HARD,9.0,True,Ferrari,0 days 00:27:43.364000,1,FP1,50.6,30.6,38.8
LEC,16,83.008,12.0,2.0,27.224,28.105,27.679,293.0,316.0,282.0,331.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:41:15.928000,1,FP1,50.6,30.6,38.8
LEC,16,136.759,13.0,2.0,43.298,53.665,39.796,120.0,163.0,289.0,167.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:42:38.936000,1,FP1,50.6,30.6,38.8
LEC,16,107.753,14.0,2.0,27.396,42.802,37.555,291.0,144.0,288.0,326.0,False,MEDIUM,4.0,True,Ferrari,0 days 00:44:55.695000,1,FP1,50.6,30.6,38.8
LEC,16,86.923,18.0,4.0,28.273,29.877,28.773,280.0,300.0,307.0,314.0,False,MEDIUM,8.0,False,Ferrari,0 days 00:58:13.001000,1,FP1,50.3,30.7,38.9
LEC,16,86.429,19.0,4.0,28.58,29.335,28.514,281.0,305.0,310.0,306.0,False,MEDIUM,9.0,False,Ferrari,0 days 00:59:39.924000,1,FP1,50.3,30.7,38.9
LEC,16,86.705,20.0,4.0,28.803,29.379,28.523,281.0,302.0,303.0,309.0,False,MEDIUM,10.0,False,Ferrari,0 days 01:01:06.353000,1,FP1,50.3,30.7,38.9
LEC,16,86.962,21.0,4.0,28.657,29.735,28.57,283.0,300.0,308.0,310.0,False,MEDIUM,11.0,False,Ferrari,0 days 01:02:33.058000,1,FP1,50.3,30.7,38.9
LEC,16,86.425,22.0,4.0,28.609,29.381,28.435,283.0,307.0,310.0,312.0,False,MEDIUM,12.0,False,Ferrari,0 days 01:04:00.020000,1,FP1,50.3,30.7,38.9
LEC,16,86.636,23.0,4.0,28.408,29.998,28.23,285.0,299.0,324.0,315.0,False,MEDIUM,13.0,False,Ferrari,0 days 01:05:26.445000,1,FP1,50.1,30.7,39.4
LEC,16,86.405,24.0,4.0,27.667,29.947,28.791,301.0,300.0,303.0,324.0,False,MEDIUM,14.0,False,Ferrari,0 days 01:06:53.081000,1,FP1,50.1,30.7,39.4
LEC,16,86.282,25.0,4.0,28.463,29.365,28.454,289.0,318.0,329.0,316.0,False,MEDIUM,15.0,False,Ferrari,0 days 01:08:19.486000,1,FP1,50.1,30.7,39.4
LEC,16,85.936,26.0,4.0,27.939,29.432,28.565,284.0,303.0,308.0,320.0,False,MEDIUM,16.0,False,Ferrari,0 days 01:09:45.768000,1,FP1,50.1,30.7,39.4
LEC,16,86.153,27.0,4.0,28.372,29.434,28.347,286.0,309.0,307.0,314.0,False,MEDIUM,17.0,False,Ferrari,0 days 01:11:11.704000,1,FP1,50.1,30.7,39.4
LEC,16,142.734,28.0,4.0,41.95,46.947,53.837,143.0,175.0,64.0,208.0,False,MEDIUM,18.0,False,Ferrari,0 days 01:12:37.857000,1,FP1,50.1,30.7,39.4
STR,18,89.365,2.0,1.0,29.191,30.513,29.661,274.0,291.0,271.0,299.0,True,HARD,2.0,True,Aston Martin,0 days 00:17:51.708000,1,FP1,50.3,30.7,39.6
STR,18,111.061,3.0,1.0,33.839,41.533,35.689,234.0,257.0,280.0,226.0,False,HARD,3.0,True,Aston Martin,0 days 00:19:21.073000,1,FP1,50.3,30.7,39.6
